Date,Team1,Team2,Score (Team1 - Team2),FullTimeResult,Venue,City,Attendance,Goal Scorers Team 1,Goal Scorers Team 2,Team 1 Possession percentage,Team 2 Possession percentage,Team 1 Shots on Goal,Team 2 Shots on Goal,Team 1 Shot Attempts,Team 2 Shot Attempts,Team 1 Yellow Cards,Team 2 Yellow Cards,Team 1 Corner Kicks,Team 2 Corner Kicks,Team 1 Saves,Team 2 Saves
2025-12-30,Uganda,Nigeria,1 - 3,FT,Complexe Sportif de Fès,Fès,11545,Rogers Mato - 75',Jamal Salim - 56'Paul Onuachu - 28'Raphael Onyedika - 62', 67',28,71,1,6,9,13,1,2,2,3,3,0
2025-12-31,Benin,Senegal,0 - 3,FT,Ibn Batouta Stadium,Tanger,26707,,Abdoulaye Seck - 38'Habib Diallo - 62'Cherif Ndiaye - 90'+7',48,51,4,6,7,10,4,1,4,4,3,4
2025-12-31,Botswana,Congo DR,0 - 3,FT,Stade El Barid,Rabat,12569,,Nathanaël Mbuku - 31'Gaël Kakuta - 41', 60',44,55,1,6,6,28,0,0,0,3,3,1
2025-12-31,Equatorial Guinea,Algeria,1 - 3,FT,Stade Prince Moulay Al Hassan,Rabat,15187,Emilio Nsue - 50',Zineddine Belaïd - 19'Farès Chaïbi - 25'Ibrahim Maza - 32',45,54,3,6,10,16,4,1,4,5,3,2
2025-12-31,Sudan,Burkina Faso,0 - 2,FT,Mohamed V Stadium,Casablanca,10084,,Lassina Traoré - 16'Arsène Kouassi - 85',37,62,1,3,10,10,0,2,4,6,1,1
2026-01-01,Gabon,Ivory Coast,2 - 3,FT,Stade de Marrakech,Marrakech,20833,Guélor Kanga - 11'Denis Bouanga - 21',Jean-Phillipe Krasso - 44'Evann Guessand - 84'Bazoumana Touré - 90'+1',33,66,3,5,9,21,2,1,2,8,2,1
2026-01-01,Mozambique,Cameroon,1 - 2,FT,Le Grand Stade Agadir,Agadir,13093,Geny Catamo - 23',Nené - 28' OGChristian Kofane - 55',52,48,2,6,10,19,0,3,2,8,4,1
2026-01-03,Senegal,Sudan,3 - 1,FT,Ibn Batouta Stadium,Tanger,30045,Pape Gueye - 29' 45'+3'Ibrahim Mbaye - 77',Aamir Abdallah - 6',67,32,9,3,14,9,2,2,7,4,2,6
2026-01-04,Mali,Tunisia,1 - 1,FT-Pens,Mohamed V Stadium,Casablanca,41982,Lassine Sinayoko - 90'+6',Woyo Coulibaly - 26'Firas Chaouat - 88',27,72,1,4,8,13,4,6,4,11,3,0
2026-01-04,Morocco,Tanzania,1 - 0,FT,Stade Prince Moulay Abdallah,Rabat,63894,Brahim Díaz - 64',,70,29,4,1,12,4,1,5,4,0,1,3
